review_text,rating,date,bank_name,source
"Very poor app! It locked my out without any reason, does not have any conformation or screenshots . And delay when opening of the app. It is just time wasting.",1,2024-06-09,Dashen Bank,Google Play
Best app....,5,2024-06-06,Dashen Bank,Google Play
wow amole,4,2024-06-03,Dashen Bank,Google Play
We,1,2024-06-01,Dashen Bank,Google Play
Best,5,2024-06-01,Dashen Bank,Google Play
Tye app is mostly good but you should make it be able to save usernames instead of typing every time i want to login,4,2024-05-31,Dashen Bank,Google Play
"It's good enough. But, there is slowing in beginning of the App....",5,2024-05-24,Dashen Bank,Google Play
"Good for safety,take long way though",5,2024-05-22,Dashen Bank,Google Play
😘,5,2024-05-20,Dashen Bank,Google Play
Bad app that not helping me the is not login,1,2024-05-18,Dashen Bank,Google Play
Good,4,2024-05-15,Dashen Bank,Google Play
Best after removal of screelock password,5,2024-05-13,Dashen Bank,Google Play
"I really don't get how this is the lite version and it is bigger than the og app, ah well it is what it is ig ¯⁠\⁠_😂_⁠/⁠¯",5,2024-05-10,Dashen Bank,Google Play
"Dashen Bank is the gold standard of banking in Ethiopia! The mobile app makes banking convenient and efficient. Plus, the branch services is top-notch, with staff always ready to assist with a smile.",5,2024-05-10,Dashen Bank,Google Play
ማይ,1,2024-05-09,Dashen Bank,Google Play
Doesn't work most of the time,1,2024-05-09,Dashen Bank,Google Play
that is awesome,5,2024-05-01,Dashen Bank,Google Play
"It's so boring.... I don't wanna say this but this app so tough to take action. It's take long time and also it's conditional mostly it's not available, in 1 day it's work for 1 or 2 hour .... this bank so huge but de app it's not enough to define your exellence",1,2024-04-30,Dashen Bank,Google Play
We,5,2024-04-28,Dashen Bank,Google Play
Jafare has fyguhfiwudgg,5,2024-04-25,Dashen Bank,Google Play
it's fine,5,2024-04-20,Dashen Bank,Google Play
This app is very good Nice app people please use this app 😃☺️☺️,5,2024-04-20,Dashen Bank,Google Play
Nice,5,2024-04-18,Dashen Bank,Google Play
Wow amazing platform 🙏,5,2024-04-17,Dashen Bank,Google Play
"I tried to log in twice and locked me out. I tried to email them, but no one responded 🙃 please respond to our email back",1,2024-04-12,Dashen Bank,Google Play
Why dont update,5,2024-04-06,Dashen Bank,Google Play
Good app,5,2024-04-06,Dashen Bank,Google Play
Best,5,2024-04-01,Dashen Bank,Google Play
Nice,4,2024-03-31,Dashen Bank,Google Play
This app is so good and its an interesting,3,2024-03-29,Dashen Bank,Google Play
The best easy banking app ever @ Ethiopia,5,2024-03-26,Dashen Bank,Google Play
Amole lite wow its more easy for use and more secured. I really its one step a head,5,2024-03-25,Dashen Bank,Google Play
Excellent and Easy to use.,5,2024-03-25,Dashen Bank,Google Play
wow,5,2024-03-24,Dashen Bank,Google Play
it's good app I'm using it right now but after it have installed doesn't work fastly and again goes to update..plc fix the problem..,3,2024-03-23,Dashen Bank,Google Play
Very nice,5,2024-03-22,Dashen Bank,Google Play
It's good app,5,2024-03-22,Dashen Bank,Google Play
Very secured app but after the last update it takes long time to start .pls minimize the start time ppl might have no patience to wait more than 30 seconds just for the app to open ..,5,2024-03-22,Dashen Bank,Google Play
Nice,4,2024-03-22,Dashen Bank,Google Play
I don't know why I have been stuck with other mobile banking systems when all I needed was amole... I loved it,5,2024-03-22,Dashen Bank,Google Play
Special for me,5,2024-03-21,Dashen Bank,Google Play
Baset app,5,2024-03-20,Dashen Bank,Google Play
it is good App,4,2024-03-19,Dashen Bank,Google Play
Nuuroo usmaan gaamilcom,5,2024-03-18,Dashen Bank,Google Play
good,4,2024-03-18,Dashen Bank,Google Play
Very good app,5,2024-03-17,Dashen Bank,Google Play
Student,5,2024-03-17,Dashen Bank,Google Play
Please apply!cardless cash out system🙏,2,2024-03-17,Dashen Bank,Google Play
it has a lot of options but it is a slowe while opning by biometric,2,2024-03-17,Dashen Bank,Google Play
The last update is not working correctly so i stop using this app betam huwala ker new dashen bank needs to work on its digital app teams,5,2024-03-17,Dashen Bank,Google Play
How to use application,5,2024-03-17,Dashen Bank,Google Play
cooooolllllll,5,2024-03-17,Dashen Bank,Google Play
I prefered you b/cs your service charge is very fair.,5,2024-03-16,Dashen Bank,Google Play
Excellent App And Easy To Use Every where.,5,2024-03-16,Dashen Bank,Google Play
ተመችቶናል,4,2024-03-16,Dashen Bank,Google Play
The best app,5,2024-03-16,Dashen Bank,Google Play
Well done Dashen Bank.,4,2024-03-16,Dashen Bank,Google Play
በጣም አሪፍ ነው,5,2024-03-16,Dashen Bank,Google Play
Good,5,2024-03-13,Dashen Bank,Google Play
"The UI/UX experience is already good, but some minor tweaks in font sizes and color can take it to the top-notch level. Imagine the sheer joy and satisfaction your users will feel when they see the polished and refined interface you've created for them. Don't miss the opportunity to impress them even more with these simple yet impactful changes.",5,2024-03-12,Dashen Bank,Google Play
I m the one here in Dashen bank,5,2024-03-06,Dashen Bank,Google Play
improve more,3,2024-03-04,Dashen Bank,Google Play
Tremendous,5,2024-03-04,Dashen Bank,Google Play
ለመግባት (login) ቀርፋፋ ነው ።,1,2024-03-04,Dashen Bank,Google Play
I like this,3,2024-03-03,Dashen Bank,Google Play
Longin fails repeatedly,3,2024-02-28,Dashen Bank,Google Play
One of the best app I have ever seen it's simple to use,5,2024-02-26,Dashen Bank,Google Play
Personal scored,5,2024-02-25,Dashen Bank,Google Play
Nice app,5,2024-02-24,Dashen Bank,Google Play
best app,5,2024-02-24,Dashen Bank,Google Play
Best app,3,2024-02-24,Dashen Bank,Google Play
Good,5,2024-02-24,Dashen Bank,Google Play
Welcome,4,2024-02-22,Dashen Bank,Google Play
Good,5,2024-02-21,Dashen Bank,Google Play
Needs to be underrated. Bad service,1,2024-02-20,Dashen Bank,Google Play
Easy to use,4,2024-02-15,Dashen Bank,Google Play
Its nice,5,2024-02-12,Dashen Bank,Google Play
Mudeme,5,2024-02-12,Dashen Bank,Google Play
The upgraded Amole lite app is nice. I’ve loved it. But #USSD CANNOT BE ADJUSTED FOR NEW CUSTOMERS ESPECIALLY THOSE WHO DO NOT HAVE SMARTPHONES. YOU NEED TO IMPROVE THIS ONE,5,2024-02-11,Dashen Bank,Google Play
Good,1,2024-02-11,Dashen Bank,Google Play
Past,5,2024-02-10,Dashen Bank,Google Play
Nice app,5,2024-02-10,Dashen Bank,Google Play
It doesn't work,5,2024-02-09,Dashen Bank,Google Play
Open,1,2024-02-09,Dashen Bank,Google Play
Good app,1,2024-02-08,Dashen Bank,Google Play
good,5,2024-02-08,Dashen Bank,Google Play
Awesome,5,2024-02-06,Dashen Bank,Google Play
receipt downloading is not avialable in this version,1,2024-02-05,Dashen Bank,Google Play
Good 👍,5,2024-02-04,Dashen Bank,Google Play
Not reliable!,1,2024-02-04,Dashen Bank,Google Play
The last update doesn't work when you chose account to send money on lower Android version,1,2024-02-04,Dashen Bank,Google Play
Nice app,1,2024-02-03,Dashen Bank,Google Play
Exchange rate is not real,5,2024-02-03,Dashen Bank,Google Play
Good,5,2024-02-03,Dashen Bank,Google Play
Good Security,5,2024-02-03,Dashen Bank,Google Play
"It's good app but i can not see the history of transactions on the app and also updated one is not good can't send always says, choose account",5,2024-02-02,Dashen Bank,Google Play
Its good,5,2024-02-02,Dashen Bank,Google Play
Happy day,4,2024-02-01,Dashen Bank,Google Play
"Disabled taking screenshots so there's no way to share payment confirmation screenshot with people. When you think the app couldn't get any worse, somehow these people find a way to do so.",1,2024-02-01,Dashen Bank,Google Play
Too technical.,1,2024-02-01,Dashen Bank,Google Play
Excellent,5,2024-02-01,Dashen Bank,Google Play
🥰🥰🥰🥰,5,2024-02-01,Dashen Bank,Google Play
Fast and secured,5,2024-02-01,Dashen Bank,Google Play
Good,5,2024-02-01,Dashen Bank,Google Play
Good but it need additional work it is slow in respond,3,2024-01-31,Dashen Bank,Google Play
Nice app,5,2024-01-31,Dashen Bank,Google Play
My best,5,2024-01-31,Dashen Bank,Google Play
"l am old customer of dashen bank, i started to use this app almost for five month, in those time i didn't saw any negative on this app, its interesting and you can pay and recieve payment easily. from ethiopian banks i give five star its always seek new technology than ever bank.",5,2024-01-31,Dashen Bank,Google Play
Its nice please add reprint to get the receit,5,2024-01-31,Dashen Bank,Google Play
Amole 100%,5,2024-01-31,Dashen Bank,Google Play
I like it this app,4,2024-01-31,Dashen Bank,Google Play
Best,5,2024-01-30,Dashen Bank,Google Play
Smart and best always !,5,2024-01-30,Dashen Bank,Google Play
Ok,1,2024-01-30,Dashen Bank,Google Play
Dashed Bank A...,5,2024-01-29,Dashen Bank,Google Play
Best app,5,2024-01-28,Dashen Bank,Google Play
ያማችኋል አይሰራም,1,2024-01-22,Dashen Bank,Google Play
since i started using this app its speed and reliability is great as well. it incorporates all technologies. I am very impressed with the modern work you are doing with little effort.,5,2024-01-22,Dashen Bank,Google Play
"It doesn't work, it keeps saying ""there was a problem submitting your request. Please try again later"" how come banking app service down all the time. It is very irritating.",1,2024-01-17,Dashen Bank,Google Play
Excellent quality Applications Dashen bank for ever,5,2024-01-15,Dashen Bank,Google Play
Good,5,2024-01-13,Dashen Bank,Google Play
Way,5,2024-01-13,Dashen Bank,Google Play
This is the most ridiculous thing I have ever seen they are on maintenance everyother day,1,2023-12-31,Dashen Bank,Google Play
Well improved!,4,2023-12-29,Dashen Bank,Google Play
Keeps hanging ..,3,2023-12-24,Dashen Bank,Google Play
It's exceptional,5,2023-12-24,Dashen Bank,Google Play
Dashen Bank Amole Lite essy to use and the connection is fast.,5,2023-12-23,Dashen Bank,Google Play
Ita fantastic,5,2023-12-23,Dashen Bank,Google Play
It is best app,5,2023-12-19,Dashen Bank,Google Play
Top,5,2023-12-18,Dashen Bank,Google Play
Dashen Bank is App 🥰👌,5,2023-12-18,Dashen Bank,Google Play
<> መፈክራችው እና ስራችው አይገናኝም ። በጣም የሚያስጠላ app ነው። ቀድሞ ያልዘመና ነው በአጠቃላይ ጊዜ እና ገንዘብ የሚያከስር app ነው ። keep our time unless uses this app,1,2023-12-18,Dashen Bank,Google Play
I am very comfortable with the efficiency,5,2023-12-15,Dashen Bank,Google Play
"I tried to use this app for long and failed to do so. Initially, I able to use it even though with difficulty (very slow, need of login and logout) now and then. Then i couldn't use it. I tried to reset with one of the Dashen branch bank but failed",1,2023-12-11,Dashen Bank,Google Play
⭐️⭐️⭐️⭐️⭐️,5,2023-12-08,Dashen Bank,Google Play
Too slow!,1,2023-12-05,Dashen Bank,Google Play
a best tecnology appl.,5,2023-11-26,Dashen Bank,Google Play
This app no working 1 star,1,2023-11-23,Dashen Bank,Google Play
This app works so good. But i don't get it why it never show incoming fund transfer report? Have you notice this?,3,2023-11-23,Dashen Bank,Google Play
it sስሎው አፕፕ ፕሊስ ቸንግ አንድ ፋሰት,1,2023-11-22,Dashen Bank,Google Play
There is always room for improvement and an opportunity to adopt! keep improving and keep evolving. I would love to see external services provided by the Amole app to utilize and actively operate our banking account. Option to invest in ideas that could build Ethiopian creativity. Yosef ke Dallas,4,2023-11-22,Dashen Bank,Google Play
"Even though I am a long-time Dashen Bank admirer, I find this app hard to use compared to other banks' mobile apps. It has a problem refreshing account balance, I needed to log out and login to see the updated account balance. Overall, user friendliness of the app needs a serious upgrade. I will improve my rating once problems are addressed.",1,2023-11-22,Dashen Bank,Google Play
Best,5,2023-11-18,Dashen Bank,Google Play
"very fast ,secure and simply to use i like amole",5,2023-11-15,Dashen Bank,Google Play
Amazing,5,2023-11-13,Dashen Bank,Google Play
The best of the best app,5,2023-11-12,Dashen Bank,Google Play
ለአጠቃቀም አመቺ እና ቀላል የሆነ የሞባይል መተግበሪያ ነው ።,5,2023-11-12,Dashen Bank,Google Play
It is a reliable and safe application.,5,2023-11-11,Dashen Bank,Google Play
Good,5,2023-11-11,Dashen Bank,Google Play
"Best app, it saves traveling cost plus work time forgone. Simply bank in your home and hand 🙏",5,2023-11-11,Dashen Bank,Google Play
It is compatible.,4,2023-11-11,Dashen Bank,Google Play
It's very good app but always try to open requested update...,4,2023-11-11,Dashen Bank,Google Play
please how can i fix my app it keep saying application error i have tried to uninstall and install again nothing has changed please help,1,2023-11-10,Dashen Bank,Google Play
"It is too slow application than any one of Ethiopian mobile banking apps. Please make it fast, and its feature beautiful. I am a Dashen Bank Customer and user of this app. Thank you.",2,2023-11-10,Dashen Bank,Google Play
Best,5,2023-11-09,Dashen Bank,Google Play
Not working sometimes,3,2023-11-09,Dashen Bank,Google Play
The best one of the internet banking apps I've come across in Ethiopia. Only thing I would like to see added is the ability to get a receipt after the payment has been payed or transferred. Since it only gives a receipt right at the moment of payment and after that there is no way to get a receipt.,5,2023-11-08,Dashen Bank,Google Play
nice app,4,2023-10-31,Dashen Bank,Google Play
Excellent,5,2023-10-28,Dashen Bank,Google Play
Best,5,2023-10-21,Dashen Bank,Google Play
ምንድን ነው password 🔑 expired የሚለው,5,2023-10-17,Dashen Bank,Google Play
Worst app ever all it does is load and fail plus your customer service on front are not supporting,1,2023-10-17,Dashen Bank,Google Play
Best app I used it,1,2023-10-14,Dashen Bank,Google Play
Faster secure and best international creadite card is the frist bank ethiopian bank to apply prophational card.,5,2023-10-13,Dashen Bank,Google Play
Excllent,5,2023-10-07,Dashen Bank,Google Play
This is nice adds that I like it.,5,2023-09-30,Dashen Bank,Google Play
It is simple and fast.,5,2023-09-29,Dashen Bank,Google Play
👏👏👏,4,2023-09-27,Dashen Bank,Google Play
Vary good,2,2023-09-27,Dashen Bank,Google Play
Amazing banking app.,5,2023-09-26,Dashen Bank,Google Play
Great app,5,2023-09-25,Dashen Bank,Google Play
Best app ever,5,2023-09-10,Dashen Bank,Google Play
Ashabul,5,2023-09-10,Dashen Bank,Google Play
Best easy and secure app thank you,5,2023-09-08,Dashen Bank,Google Play
Best app Ever!,5,2023-09-03,Dashen Bank,Google Play
"Why not we can pay bill,directly from main account, difficult to transfer repeatedly.",5,2023-09-02,Dashen Bank,Google Play
"Aside of some of it's major flows, the worst one yet is that it doesn't give you the full detail of your transaction history. Like the receiver's name and account number. You've to take a screenshot to document it or send it to the receiver as a confirmation.",2,2023-09-02,Dashen Bank,Google Play
Good app for use simple and easy,5,2023-09-01,Dashen Bank,Google Play
ባጠቃላይ ባንኩ እወደዋለሁኝ,5,2023-08-31,Dashen Bank,Google Play
"Like your slogan, you are one step ahead.",5,2023-08-31,Dashen Bank,Google Play
Good,5,2023-08-31,Dashen Bank,Google Play
Loved,5,2023-08-30,Dashen Bank,Google Play
Very good app and secured,5,2023-08-28,Dashen Bank,Google Play
This app is so simple to use and secured. But while generating receipt or ደረሰኝ its required additional app XML viewer or PDF conversion app. Why? Can we view the receipt through jpg viewers?,4,2023-08-26,Dashen Bank,Google Play
Not too bad,3,2023-08-19,Dashen Bank,Google Play
Teribble need a lot of work to improve,1,2023-08-19,Dashen Bank,Google Play
ok,5,2023-08-19,Dashen Bank,Google Play
ምርጥየ,5,2023-08-18,Dashen Bank,Google Play
Baheru ጭስ,2,2023-08-16,Dashen Bank,Google Play
Wawu,5,2023-08-12,Dashen Bank,Google Play
Thank Dashen bank,5,2023-08-12,Dashen Bank,Google Play
good,1,2023-08-12,Dashen Bank,Google Play
Good,4,2023-08-11,Dashen Bank,Google Play
Simple and secured,5,2023-08-10,Dashen Bank,Google Play
its nice and easg to use.Also its unique part is very fast,5,2023-08-10,Dashen Bank,Google Play
It's just ewww the app overall,2,2023-08-10,Dashen Bank,Google Play
Love it,5,2023-08-09,Dashen Bank,Google Play
Good App.,5,2023-08-09,Dashen Bank,Google Play
Good,5,2023-08-05,Dashen Bank,Google Play
Its good,5,2023-08-05,Dashen Bank,Google Play
Simplify.,5,2023-08-01,Dashen Bank,Google Play
Amazing,5,2023-08-01,Dashen Bank,Google Play
"Abel Balcha, and Abel Solomon, sad to say what is annoying is to read your comment about password. Your comments on password tell your limited knowledge about digital security. Both comments goes against strong security policies; It is meant to protect your assets. Don't be careless on it. Reconsider your review. In a way you are telling how secure this app is. I hope Dashen will respond to disqualify your review points. It is just not fair.",4,2023-07-30,Dashen Bank,Google Play
good👍,4,2023-07-28,Dashen Bank,Google Play
Best,5,2023-07-27,Dashen Bank,Google Play
good app,5,2023-07-27,Dashen Bank,Google Play
"I really enjoy this app because by doing anything it could remind me and saying you logged in with this app, if is not you contact this number.. So I like it",5,2023-07-23,Dashen Bank,Google Play
