review_text,rating,date,bank_name,source,sentiment_label,sentiment_score
Loved it,5,2025-03-14,Bank of Abyssinia,Google Play,POSITIVE,0.9998797178268433
Wow,1,2025-03-14,Bank of Abyssinia,Google Play,POSITIVE,0.999592125415802
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9985970854759216
Improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play,POSITIVE,0.9998570680618286
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play,NEGATIVE,0.9974843263626099
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play,NEGATIVE,0.8457716703414917
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,Google Play,NEGATIVE,0.9994600415229797
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play,NEGATIVE,0.9741679430007935
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play,POSITIVE,0.9998214840888977
Wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play,POSITIVE,0.9998815059661865
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play,NEGATIVE,0.9993101358413696
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play,NEGATIVE,0.9997013211250305
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play,NEGATIVE,0.9998133778572083
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play,NEGATIVE,0.9959415793418884
Good app,5,2025-03-03,Bank of Abyssinia,Google Play,POSITIVE,0.9998493194580078
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play,NEGATIVE,0.9916398525238037
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,Google Play,NEGATIVE,0.9956711530685425
Very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9998043179512024
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9997020363807678
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,Google Play,POSITIVE,0.9997394680976868
Not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play,NEGATIVE,0.9972773194313049
Thank you BoA,5,2025-02-23,Bank of Abyssinia,Google Play,POSITIVE,0.9998399019241333
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play,POSITIVE,0.999572217464447
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,Google Play,POSITIVE,0.999751627445221
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of Abyssinia,Google Play,NEGATIVE,0.9992678761482239
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play,POSITIVE,0.9977995753288269
The is not functional at all?,2,2025-02-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9997331500053406
Best bank,5,2025-02-08,Bank of Abyssinia,Google Play,POSITIVE,0.9997438788414001
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,Google Play,POSITIVE,0.9997236132621765
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of Abyssinia,Google Play,POSITIVE,0.9998595714569092
Good 👍,5,2025-01-31,Bank of Abyssinia,Google Play,POSITIVE,0.9998576641082764
Sad experience,1,2025-01-30,Bank of Abyssinia,Google Play,NEGATIVE,0.9990687966346741
Always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play,NEGATIVE,0.9994439482688904
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,Google Play,NEGATIVE,0.6387038230895996
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,Google Play,NEGATIVE,0.9946038126945496
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play,NEGATIVE,0.9976609945297241
Beter,5,2025-01-21,Bank of Abyssinia,Google Play,POSITIVE,0.6771944165229797
Boa,4,2025-01-18,Bank of Abyssinia,Google Play,NEGATIVE,0.7410542368888855
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of Abyssinia,Google Play,NEGATIVE,0.9979276657104492
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play,POSITIVE,0.6127519011497498
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of Abyssinia,Google Play,NEGATIVE,0.9997913241386414
I love it,5,2025-01-14,Bank of Abyssinia,Google Play,POSITIVE,0.9998799562454224
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of Abyssinia,Google Play,NEGATIVE,0.9985793828964233
Good🙏,5,2025-01-12,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
Like to much,5,2025-01-11,Bank of Abyssinia,Google Play,POSITIVE,0.9997984766960144
Thank you,5,2025-01-10,Bank of Abyssinia,Google Play,POSITIVE,0.9998352527618408
Perfect,5,2025-01-09,Bank of Abyssinia,Google Play,POSITIVE,0.9998517036437988
The best of best,5,2025-01-09,Bank of Abyssinia,Google Play,POSITIVE,0.9998393058776855
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of Abyssinia,Google Play,NEGATIVE,0.9016599655151367
Great 👍,5,2025-01-04,Bank of Abyssinia,Google Play,POSITIVE,0.9997692704200745
Fast and suitable for the customers.,5,2025-01-04,Bank of Abyssinia,Google Play,POSITIVE,0.9997920393943787
Good app and helpful,5,2025-01-03,Bank of Abyssinia,Google Play,POSITIVE,0.9998565912246704
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of Abyssinia,Google Play,NEGATIVE,0.9978498220443726
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of Abyssinia,Google Play,NEGATIVE,0.9992759823799133
It doesn't work at all.,2,2025-01-02,Bank of Abyssinia,Google Play,NEGATIVE,0.9997771382331848
this app is not available,1,2025-01-02,Bank of Abyssinia,Google Play,NEGATIVE,0.9997593760490417
Wow what amazing,5,2024-12-30,Bank of Abyssinia,Google Play,POSITIVE,0.9998555183410645
love it,5,2024-12-30,Bank of Abyssinia,Google Play,POSITIVE,0.9998753070831299
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,Bank of Abyssinia,Google Play,NEGATIVE,0.9733067750930786
Lemn embi yilal??,5,2024-12-30,Bank of Abyssinia,Google Play,NEGATIVE,0.9906971454620361
Good,5,2024-12-30,Bank of Abyssinia,Google Play,POSITIVE,0.9998161196708679
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,Google Play,NEGATIVE,0.9998070597648621
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia,Google Play,NEGATIVE,0.7652340531349182
Nice,5,2024-12-26,Bank of Abyssinia,Google Play,POSITIVE,0.9998552799224854
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia,Google Play,NEGATIVE,0.9997933506965637
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of Abyssinia,Google Play,NEGATIVE,0.8616330027580261
Not that much bad,3,2024-12-22,Bank of Abyssinia,Google Play,POSITIVE,0.9988158941268921
Fine,5,2024-12-21,Bank of Abyssinia,Google Play,POSITIVE,0.9998335838317871
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia,Google Play,NEGATIVE,0.995487630367279
Nic ap,5,2024-12-19,Bank of Abyssinia,Google Play,POSITIVE,0.9873360991477966
The forest app ever,1,2024-12-19,Bank of Abyssinia,Google Play,POSITIVE,0.9840954542160034
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9967040419578552
Bank of abissena,1,2024-12-17,Bank of Abyssinia,Google Play,POSITIVE,0.9480117559432983
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia,Google Play,NEGATIVE,0.9888866543769836
GOOD,5,2024-12-15,Bank of Abyssinia,Google Play,POSITIVE,0.9998161196708679
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia,Google Play,NEGATIVE,0.9998007416725159
Poorly functioning app,3,2024-12-13,Bank of Abyssinia,Google Play,NEGATIVE,0.999775230884552
Very nice,5,2024-12-13,Bank of Abyssinia,Google Play,POSITIVE,0.9998563528060913
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia,Google Play,NEGATIVE,0.9998007416725159
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia,Google Play,NEGATIVE,0.9997615218162537
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia,Google Play,POSITIVE,0.9543285369873047
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia,Google Play,NEGATIVE,0.9997000694274902
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia,Google Play,NEGATIVE,0.9941067695617676
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia,Google Play,NEGATIVE,0.9996792078018188
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia,Google Play,NEGATIVE,0.9981752634048462
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play,POSITIVE,0.9926175475120544
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia,Google Play,NEGATIVE,0.9998001456260681
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia,Google Play,POSITIVE,0.806429922580719
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia,Google Play,NEGATIVE,0.9997996687889099
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play,NEGATIVE,0.9944479465484619
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia,Google Play,NEGATIVE,0.9997497200965881
Great,5,2024-11-25,Bank of Abyssinia,Google Play,POSITIVE,0.9998630285263062
👏👏👏,5,2024-11-24,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
Money,5,2024-11-24,Bank of Abyssinia,Google Play,POSITIVE,0.9659326076507568
It needs more improvment,2,2024-11-24,Bank of Abyssinia,Google Play,NEGATIVE,0.998616099357605
Hey Google,5,2024-11-21,Bank of Abyssinia,Google Play,POSITIVE,0.9950044751167297
ab,3,2024-11-20,Bank of Abyssinia,Google Play,POSITIVE,0.9603192806243896
Ademtahir,5,2024-11-20,Bank of Abyssinia,Google Play,POSITIVE,0.9930111765861511
✌️✌️,5,2024-11-20,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play,POSITIVE,0.6488659381866455
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9337347149848938
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia,Google Play,NEGATIVE,0.9994460940361023
Fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play,POSITIVE,0.9998595714569092
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play,NEGATIVE,0.9998020529747009
Very good,5,2024-11-14,Bank of Abyssinia,Google Play,POSITIVE,0.9998520612716675
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play,NEGATIVE,0.9997566342353821
❤❤❤❤❤❤,5,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
Oene,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.8278864026069641
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.9981314539909363
it good,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.9998427629470825
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9996472597122192
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9964038133621216
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9998034834861755
Bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.9978061318397522
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.9990527033805847
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.9878897070884705
The worst App i have never seen like this before,1,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.999774158000946
Wweeeer,4,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.8910733461380005
Infinx,5,2024-11-12,Bank of Abyssinia,Google Play,NEGATIVE,0.904255747795105
Great service,5,2024-11-12,Bank of Abyssinia,Google Play,POSITIVE,0.9998434782028198
👍,5,2024-11-11,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,Bank of Abyssinia,Google Play,NEGATIVE,0.9997187256813049
senayt Mesfin,4,2024-11-08,Bank of Abyssinia,Google Play,POSITIVE,0.887482225894928
Bad app vety bad.,1,2024-11-07,Bank of Abyssinia,Google Play,NEGATIVE,0.9998058676719666
Abessnya Banke,5,2024-11-05,Bank of Abyssinia,Google Play,NEGATIVE,0.9873653054237366
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,Bank of Abyssinia,Google Play,NEGATIVE,0.9997209906578064
Okay,5,2024-11-03,Bank of Abyssinia,Google Play,POSITIVE,0.9997709393501282
Professional on banking app,5,2024-11-01,Bank of Abyssinia,Google Play,POSITIVE,0.9616296291351318
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,Bank of Abyssinia,Google Play,NEGATIVE,0.993607759475708
አይሰራም አስተካክሉት,5,2024-10-26,Bank of Abyssinia,Google Play,NEGATIVE,0.7850590348243713
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,Bank of Abyssinia,Google Play,NEGATIVE,0.9962698221206665
Fast transfer,5,2024-10-24,Bank of Abyssinia,Google Play,POSITIVE,0.9989985823631287
"What's up I can't log in, what's wrong",5,2024-10-22,Bank of Abyssinia,Google Play,NEGATIVE,0.9989662170410156
Amrumehamed,1,2024-10-21,Bank of Abyssinia,Google Play,POSITIVE,0.6924042105674744
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia,Google Play,POSITIVE,0.9683735966682434
ደደገነሐ,5,2024-10-15,Bank of Abyssinia,Google Play,NEGATIVE,0.6970565915107727
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,Bank of Abyssinia,Google Play,NEGATIVE,0.9995194673538208
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,Bank of Abyssinia,Google Play,NEGATIVE,0.999660849571228
Good App,4,2024-10-12,Bank of Abyssinia,Google Play,POSITIVE,0.9998493194580078
Best app to me,5,2024-10-11,Bank of Abyssinia,Google Play,POSITIVE,0.9978218078613281
BOA,5,2024-10-11,Bank of Abyssinia,Google Play,NEGATIVE,0.7410542368888855
Abdulkadir,5,2024-10-11,Bank of Abyssinia,Google Play,POSITIVE,0.981449544429779
Bad,1,2024-10-10,Bank of Abyssinia,Google Play,NEGATIVE,0.999782383441925
If it is possible I would gove0 star,1,2024-10-08,Bank of Abyssinia,Google Play,NEGATIVE,0.9928192496299744
Nise mobile bankig,4,2024-10-05,Bank of Abyssinia,Google Play,NEGATIVE,0.9858755469322205
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,Bank of Abyssinia,Google Play,NEGATIVE,0.9532790780067444
Ok,5,2024-10-04,Bank of Abyssinia,Google Play,POSITIVE,0.9997851252555847
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,Bank of Abyssinia,Google Play,NEGATIVE,0.9992843270301819
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Bank of Abyssinia,Google Play,NEGATIVE,0.998016357421875
